City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,vilyuysk,63.7553,121.6247,-31.09,100,30,2.3,RU,1680727218
183,berlevag,70.8578,29.0864,1.97,75,75,4.12,NO,1680727219
184,najran,17.4924,44.1277,25.36,37,25,1.32,SA,1680727220
185,ambanja,-13.6833,48.45,26.84,77,100,2.05,MG,1680727220
186,le mars,42.7942,-96.1656,1.98,59,100,9.26,US,1680727221
187,jutai,-5.1833,-68.9,24.54,92,96,1.5,BR,1680727222
188,xinzhou,38.4092,112.7333,4.58,57,100,1.24,CN,1680727222
189,katsuura,35.1333,140.3,15.94,71,100,6.75,JP,1680727223
190,sioux lookout,50.1001,-91.917,-6.96,79,100,5.66,CA,1680727224
191,imeni poliny osipenko,52.4201,136.4853,-2.8,79,18,1.34,RU,1680727225
192,naukot,24.8587,69.4024,23.03,53,0,4.65,PK,1680727226
193,sinop,41.7711,34.8709,7.03,97,100,0.77,TR,1680727226
194,codrington,-38.2667,141.9667,11.22,93,100,2.76,AU,1680727227
195,lacarak,45.0022,19.5686,4.41,63,100,3.47,RS,1680727228
196,daru,-9.0763,143.2092,26.38,83,92,2.3,PG,1680727228
197,upernavik,72.7868,-56.1549,-22.34,96,100,2.52,GL,1680727229
198,alenquer,-1.9417,-54.7383,26.51,91,37,0.95,BR,1680727230
199,baruun-urt,46.6806,113.2792,-5.51,51,100,9.43,MN,1680727231
200,korla,41.7597,86.1469,3.15,20,11,2.17,CN,1680727233
201,ketchikan,55.3422,-131.6461,4.99,87,100,7.72,US,1680727234
202,lagoa,39.05,-27.9833,15.05,88,59,3.77,PT,1680727234
203,minab,27.1467,57.0801,20.18,88,0,0.0,IR,1680727235
204,visby,57.6409,18.296,0.12,93,100,3.6,SE,1680727236
205,ziway,7.9333,38.7167,18.98,79,88,3.09,ET,1680727236
206,dunedin,-45.8742,170.5036,10.4,56,4,8.69,NZ,1680726939
207,umm kaddadah,13.6017,26.6876,27.42,8,100,7.16,SD,1680727237
208,hithadhoo,-0.6,73.0833,27.81,73,42,2.62,MV,1680727238
209,lorengau,-2.0226,147.2712,27.35,77,78,1.46,PG,1680727238
210,pacific grove,36.6177,-121.9166,15.77,66,0,3.09,US,1680727105
211,port alfred,-33.5906,26.891,18.99,84,0,0.45,ZA,1680727239
212,harper,4.375,-7.7169,26.78,81,77,2.7,LR,1680727240
213,kitob,39.0843,66.8332,8.47,70,15,1.05,UZ,1680727241
214,petropavlovsk-kamchatskiy,53.0452,158.6483,-2.67,59,20,5.0,RU,1680727241
215,polillo,14.7122,121.9392,23.47,81,73,3.37,PH,1680727242
216,east london,-33.0153,27.9116,19.77,69,0,6.96,ZA,1680727242
217,george town,5.4112,100.3354,24.96,94,20,1.54,MY,1680727217
218,adrar,20.5022,-10.0711,21.35,26,0,5.26,MR,1680727243
219,carnarvon,-24.8667,113.6333,22.66,63,0,6.18,AU,1680727156
220,calama,-22.4667,-68.9333,23.27,23,40,7.2,CL,1680727244
221,salalah,17.0151,54.0924,28.05,61,0,1.54,OM,1680727244
222,yenotayevka,47.2456,47.0281,12.63,58,65,1.41,RU,1680727245
223,belchatow,51.3688,19.3567,0.55,56,12,2.45,PL,1680727245
224,kushima,31.4583,131.2333,16.35,96,100,2.49,JP,1680727246
225,cherskiy,68.75,161.3,-13.42,76,37,3.15,RU,1680727246
226,torbay,47.6666,-52.7314,1.27,77,40,8.75,CA,1680727247
227,cape town,-33.9258,18.4232,21.88,71,0,1.54,ZA,1680727247
228,roebourne,-20.7833,117.1333,27.91,68,99,3.63,AU,1680727035
229,atar,20.5169,-13.0499,24.94,24,3,3.71,MR,1680727248
230,teya,60.3778,92.6267,-4.95,87,100,4.51,RU,1680727248
231,ciudad guayana,8.3533,-62.6528,30.85,62,100,4.34,VE,1680727249
232,culaman,5.9603,125.6586,23.79,96,78,0.44,PH,1680727249
233,pundaguitan,6.3711,126.1689,25.69,84,99,3.33,PH,1680727250
234,dikson,73.5069,80.5464,-32.62,100,65,3.83,RU,1680727250
235,zhirnov,48.1709,41.1261,12.74,66,100,4.01,RU,1680727250
236,corinto,37.9407,22.9573,13.27,64,67,2.73,GR,1680727228
237,port hardy,50.6996,-127.4199,7.1,70,100,7.2,CA,1680727241
238,tecoanapa,16.5167,-98.75,33.98,42,3,5.26,MX,1680727253
239,victor harbor,-35.5667,138.6167,19.82,46,90,3.37,AU,1680727254
240,jimma,7.6667,36.8333,15.61,95,100,1.22,ET,1680727255
241,talnakh,69.4865,88.3972,-24.89,96,43,4.83,RU,1680727255
242,kahului,20.8947,-156.47,27.76,66,20,9.83,US,1680727255
